,,,,,,,,,,,,
№,НАИМЕНОВАНИЯ,ИНН,НДС,Бухгалтер,bank klient,Столбец7,Назоратчи,Столбец10,% банк клиент,% бухгалтер,Ёркиной,Назоратчи  %
1,MONTAJ TEPLO ENERGO MCHJ,306033555,НДС,Sevara,Azizbek,"500,000.00",Zamira,20.00,"25,000.00",100000,35000,25000
2,"""FINANCE COUNCIL"" MCHJ",302672452,,Ruslan,Ruslan,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
3,"""ЧП ""ROAD RIDERS""",306807944,,Abrorbek,Ruslan,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
4,"ЧП ""SEVEN`S UP"" ",306918663,,Ruslan,Ruslan,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
5,"ООО ""TEN BRANCHES""",307053253,,Go'zaloy,,0.00,Muslimbek,20.00,0.00,0,0,0
6,"СП ""ZIL-BAX""",307972154,,Mohirbek,Ruslan,"700,000.00",Musobek,20.00,"35,000.00",140000,49000,35000
7,"OOO ""SARDORBEK HOUSE"" ",308435425,,Ruslan,Ruslan,"700,000.00",Go'zaloy,20.00,"35,000.00",140000,49000,35000
8," ""DILFUZAXON AVTO"" ",304825630,НДС,Abrorbek,Ruslan,"2,000,000.00",Go'zaloy,20.00,"100,000.00",400000,140000,100000
9,"""SOF MEDTEX"" MCHJ",309899654,,Maxmuda,Azizbek,"6,000,000.00",Go'zaloy,20.00,"300,000.00",1200000,420000,300000
10,"OOO ""RONICS""",308023653,НДС,Muslimbek,Azizbek,"2,500,000.00",Go'zaloy,20.00,"125,000.00",500000,175000,125000
11,"""SAPRAMTECH"" OOO ",308820248,НДС,Muslimbek,Azizbek,"7,000,000.00",Go'zaloy,20.00,"350,000.00",1400000,490000,350000
12,GELECTRONIC,310055812,НДС,Mirabbos,Ruslan,"4,000,000.00",Muslimbek,20.00,"200,000.00",800000,280000,200000
13,SHIRIN XK,202536307,НДС,Go'zaloy,,"2,000,000.00",Muslimbek,25.00,0.00,500000,140000,100000
14,MELIOMASH,304940229,НДС,Go'zaloy,,0.00,Muslimbek,20.00,0.00,0,0,0
15," ""C A WOLVES"" ",305713761,НДС,Abdugani,Azizbek,"3,000,000.00",Muslimbek,20.00,"150,000.00",600000,210000,150000
16,"""AL-AZIZ ACADEMY"" НОУ",306784151,НДС,Musobek,Azizbek,"3,500,000.00",Go'zaloy,20.00,"175,000.00",700000,245000,175000
17,"ООО ""INTEST MAX""",307058508,НДС,Go'zaloy,Azizbek,"25,000,000.00",Muslimbek,20.00,"1,250,000.00",5000000,1750000,1250000
18,"""AVIA GORODOK""",307688389,НДС,Mohirbek,Ruslan,"1,000,000.00",Musobek,20.00,"50,000.00",200000,70000,50000
19,"""AVTOMATLASHTIRILGAN ELEKTRIK YURITMA""",201250775,,Sevara,,"500,000.00",Zamira,20.00,0.00,100000,35000,25000
